AUTOMOBILE HIGH-TEMPERATURE PEST EXTERMINATION DEVICE	PATENT TITLE
In the heating by the circulation fan device 30, the interior of the treatment chamber 20 is entirely heated so that the interior of the to-be-treated automobile C loaded into the treatment chamber 20 is gradually heated.	EMBODIMENT
The graph of FIG. 5 shows the temperature change by the circulation fan device 30.	FIGURE DESCRIPTION
In the graph of FIG. 5, the temperature changes of the chamber interior temperature (vehicle external temperature) detected by the chamber interior temperature detection means 25, a first vehicle interior temperature detected by the engine compartment vehicle interior temperature detection means 50a, a second vehicle interior temperature detected by the under-seat vehicle interior temperature detection means 50b, and a third vehicle interior temperature detected by the trunk vehicle interior temperature detection means 50c are shown.	FIGURE DESCRIPTION
As shown in FIG. 5, as the chamber interior temperature (refer to reference numeral 25) rises, the vehicle interior temperatures rise (reference numerals 50a, 50b, 50c).	FIGURE DESCRIPTION
Operation of the circulation fan device 30 is controlled by the heating temperature control means 60 so that the chamber interior temperature is maintained at the temperature upper limit (75 °C in this example) based on the chamber interior temperature detected by the chamber interior temperature detection means 25.	EMBODIMENT
This is a measure to prevent damage or the like from occurring in the to-be-treated automobile C when the chamber interior temperature is higher than 80 °C.	INVENTION_ADVANTAGE
As shown in FIG. 5, the vehicle interior temperature rises over time as the temperature of the exterior of the vehicle rises.	FIGURE DESCRIPTION
By maintaining the chamber interior temperature at the temperature upper limit (75 °C), the increased vehicle interior temperature can reach the treatment temperature (60 °C in this example) of the high-temperature treatment.	FIGURE DESCRIPTION
The change in the vehicle interior temperature differs depending on the position in the to-be-treated automobile C.	FIGURE DESCRIPTION
Thus, the time to reach the treatment temperature (60 °C) of the high-temperature treatment also is not the same for each position.	FIGURE DESCRIPTION
In the example shown in FIG. 5, the vehicle interior temperature (50c) of the trunk first reaches the treatment temperature, and then the engine compartment vehicle interior temperature (50a) and the under-seat vehicle interior temperature (50b) reach the treatment temperature in this order.	FIGURE DESCRIPTION
Among the plurality of vehicle interior temperature detection means (50a, 50b, 50c), the time (t) at which the temperature reaches the treatment temperature (60 ° C) last is defined as the high-temperature treatment start time.	EMBODIMENT
The position which reaches the treatment temperature last is presumed to be the position within the to-be-treated automobile C at which the temperature is lowest.	EMBODIMENT
Thus, when this position reaches the treatment temperature, it can be considered that the entire to-be-treated automobile C has reached the treatment temperature or higher and the entire to-be-treated automobile C is in a state in which the high-temperature treatment can be appropriately performed.	EMBODIMENT
Thus, by using this time (t) as the high-temperature treatment start time, the to-be-treated automobile C can be subjected to the high-temperature treatment without issue.	EMBODIMENT
The high-temperature treatment is maintained in a high-temperature state at the treatment temperature (60 °C) or higher from the start time (t) until the set duration (10 minutes in this example) has elapsed.	EMBODIMENT
During the high-temperature treatment, the chamber interior temperature is maintained at the temperature upper limit (75 °C).	EMBODIMENT
As a result, the vehicle interior temperature of the to-be-treated automobile C rises within the range of the chamber interior temperature (75 °C) or less even after reaching the treatment temperature (60 °C).	EMBODIMENT
Thus, the vehicle interior temperature does not reach a high temperature greater than 80 °C, whereby adverse effects on the to-be-treated automobile C due to the high temperature can be prevented.	INVENTION_ADVANTAGE
During the high-temperature treatment (10 minutes), the vehicle interior temperature and the vehicle exterior temperature (chamber interior temperature) are continuously maintained at 50 °C (60 °C in this example) or higher, a temperature at which pests are killed.	EMBODIMENT
Thus, pests adhering to the to-be-treated automobile C can be reliably exterminated.	INVENTION_ADVANTAGE
After the treatment duration (t + 10 minutes) of the high-temperature treatment has elapsed, the circulation fan device 30 stops and the inlet 22 and outlet 23 of the treatment chamber 20 open, whereby the to-be-treated automobile C is gradually cooled.	EMBODIMENT
After gradual cooling of the to-be-treated automobile C has been carried out as necessary, a new untreated to-be-treated automobile C is loaded, and the same process is then repeated.	EMBODIMENT
Next, a high-temperature pest extermination method in which a high-temperature pest extermination device 10 in which a plurality of connected treatment chambers 20 are arranged in a plurality of rows is used will be described.	EMBODIMENT
As shown in FIG. 4, in this high-temperature pest extermination method, a plurality of to-be-treated automobiles C in which vehicle interior temperature detection means 50 have been appropriately arranged are appropriately loaded into the treatment chambers 20L, 20L, 20L.	FIGURE DESCRIPTION
After the necessary number of loadings has been completed, the treatment chambers 20L, 20L, 20L are closed.	EMBODIMENT
Thereafter, heating by the circulation fan devices 30 of the respective treatment chambers 20 is started by the control of the centralized management part 70.	EMBODIMENT
The centralized management part 70 controls the operation of each of the circulation fan devices 30 so as to maintain all of the chamber interior temperatures at the temperature upper limit (75 °C) or less based on the chamber interior temperature detected by the chamber interior temperature detection means 25 of each treatment chamber 20.	EMBODIMENT
Furthermore, the vehicle interior temperatures of the to-be-treated automobiles C rise over time as the chamber interior temperatures rise.	EMBODIMENT
The centralized management part 70 performs control of the circulation fan devices 30 of the plurality of treatment chambers arranged in parallel rows 20L, 20L, 20L based on the vehicle interior temperature detection means 50 for each row.	EMBODIMENT
In other words, each treatment chamber 20L, 20L, 20L is controlled so that high-temperature treatment is performed from the time any of the plurality of vehicle interior temperature detection means 50 last reaches the treatment temperature (60 ° C) until the set treatment duration (10 minutes) has elapsed.	EMBODIMENT
In each row, gradual cooling of the to-be-treated automobile C is sequentially performed from the treatment chamber 20 L in the row in which the treatment duration of high-temperature treatment has elapsed, and the replacement with new untreated to-be-treated automobiles C is performed.	EMBODIMENT
Thereafter, the same steps are repeated.	EMBODIMENT
Thus, when the high-temperature treatments by each of the circulation fan devices 30 of the plurality of treatment chambers arranged in parallel rows 20L, 20L, 20L are collectively managed by the centralized management part 70, high-temperature treatment can be appropriately performed for more to-be-treated automobiles C and management of a plurality of high-temperature treatments is simplified, whereby treatment efficiency is improved.	INVENTION_ADVANTAGE
As illustrated and described above, the automobile high-temperature pest extermination device of the present invention includes a circulation fan device arranged in the treatment chamber, the suction part of which is oriented toward the inside of the treatment chamber, a heating member mounted in the discharge part of the circulation fan device, and a rectification member for adjusting the flow direction of the heated air delivered into the chamber via the heating member.	REPHRASED CLAIM
Thus, pests can be extermination by the high-temperature treatment and it is not necessary to use a conventional fumigating agent, whereby adverse effects such as residual fumigation agent within the to-be-treated automobile can be prevented.	INVENTION_ADVANTAGE
Furthermore, by providing a circulation fan device and heating member within the treatment chamber and circulating and distributing the heated air, the overall efficiency of the treatment including the temperature rise to the pest extermination temperature and maintenance thereof can be greatly improved, whereby cost can be reduced.	INVENTION_ADVANTAGE
INDUSTRIAL APPLICABILITY	SECTION TITLE
Since the automobile high-temperature pest extermination device of the present invention comprises a circulation fan device and a heating member within the treatment chamber and the heated air is circulated and distributed, in addition to efficient high-temperature treatment, as described in the Examples, by connecting a plurality of treatment chambers, thermal treatment of a large number of different types of to-be-treated automobiles can be efficiently performed and adaptation to mass treatment and the size of the installation location becomes easy, whereby versatility is improved.	INVENTION_ADVANTAGE
Thus, the present invention has high industrial applicability.	INVENTION_ADVANTAGE
REFERENCE SIGNS LIST	SECTION TITLE
10automobile high-temperature pest extermination device20treatment chamber20Aplurality of connected treatment chambers20Lplurality of treatment chambers arranged in parallel20uunit21side wall part21afirst side wall part21bsecond side wall part21cthird side wall part21dfourth side wall part22inlet22aloading door part23outlet23adischarge door part25chamber interior temperature detection means30circulation fan device31housing member32suction part33discharge part35fan member40heating member41piping member45rectification member46rectification member wind direction restriction part47, 48rectification member wind direction auxiliary part49rectification member wind receiving surface50, 50a, 5b, 5cvehicle interior temperature detection means60heating temperature control means70centralized management partC, C1, C2, C3to-be-treated automobilethigh-temperature treatment start time	FIGURE DESCRIPTION
[OBJECT]	SECTION SUBTITLE
To provide an automobile high-temperature pest extermination device which can efficiently exterminate pests by a high-temperature treatment without the use of a fumigation agent.	INVENTION_ADVANTAGE
[SOLVING MEANS]	SECTION SUBTITLE
A device for applying, for a predetermined interval, heated air which is heated to a pest extermination temperature to a to-be-treated automobile C which is housed in a freely accessible manner in a treatment chamber 20 to exterminate pests inside the automobile includes a circulation fan device 30 arranged in the treatment chamber, a suction part 32 of which is oriented toward the inside of the treatment chamber, a heating member 40 mounted in a discharge part 33 of the circulation fan device, and a rectification member 45 for adjusting the flow direction of the heated air delivered into the chamber via the heating member.	REPHRASED CLAIM
