WIND TURBINES AND METHODS	PATENT TITLE
The method comprises: connecting the grid to a primary winding of a service voltage transformer via a busbar to supply power to a pre-charge circuit.	REPHRASED CLAIM
The method further comprises: pre-energizing a secondary winding of the main transformer with the pre-charge circuit while a primary winding of the transformer is disconnected from the grid, and connecting the primary winding of the main transformer to the grid when the primary winding of the transformer is substantially in phase with the grid.	REPHRASED CLAIM
In examples, the secondary winding of the transformer may be pre-energized by ramping a voltage of the secondary winding of the transformer until a predefined value is reached.	REPHRASED CLAIM
In a further aspect, a wind turbine is provided.	REPHRASED CLAIM
The wind turbine comprises a generator, one or more power converters arranged between the generator and a point of connection to a main transformer, wherein the main transformer is configured to connect a bus bar to the converters, wherein the busbar is configured to receive electrical power from an electrical grid with a main voltage.	REPHRASED CLAIM
The wind turbine further comprises: a pre-charge circuit configured to be connected to the busbar through a service voltage transformer when the main transformer is disconnected from the busbar, wherein the pre - charge circuit is configured to apply electrical power to a DC bus of the converter such that a secondary winding of the main transformer is pre-charged and a primary winding of the transformer is substantially in phase with the grid.	REPHRASED CLAIM
In examples, a system may be provided.	REPHRASED CLAIM
The system comprises a busbar, an electrical grid for providing electrical power to the busbar with a main voltage, a wind turbine according to the above-commented aspect, a main transformer for connecting the wind turbine to the busbar.	REPHRASED CLAIM
The system further comprising: a service voltage transformer for connecting the busbar to the precharge-circuit when the main transformer is disconnected from the busbar.	REPHRASED CLAIM
This written description uses examples to disclose the invention, including the preferred embodiments, and also to enable any person skilled in the art to practice the invention, including making and using any devices or systems and performing any incorporated methods.	JURIDICAL TEMPLATE
The patentable scope of the invention is defined by the claims, and may include other examples that occur to those skilled in the art.	JURIDICAL TEMPLATE
Such other examples are intended to be within the scope of the claims if they have structural elements that do not differ from the literal language of the claims, or if they include equivalent structural elements with insubstantial differences from the literal languages of the claims.	JURIDICAL TEMPLATE
Aspects from the various embodiments described, as well as other known equivalents for each such aspects, can be mixed and matched by one of ordinary skill in the art to construct additional embodiments and techniques in accordance with principles of this application.	JURIDICAL TEMPLATE
If reference signs related to drawings are placed in parentheses in a claim, they are solely for attempting to increase the intelligibility of the claim, and shall not be construed as limiting the scope of the claim.	JURIDICAL TEMPLATE
