ENZYMATIC PROCESS FOR THE PREPARATION OF DROXIDOPA	PATENT TITLE
The step b-1) of the process according to the invention can be a step of hydrolysis of the esteric group when R1 and R2 are acetyl.	EMBODIMENT
The step b-1) of the process according to the invention can be a step of conversion of R1 and R2 to hydrogen, depending on the nature of the R1 and R2, can be carried out differently, using the common general knowledge of the skilled person, evidence of the which can be found in the book of Theodora W Greene with title "Protective Groups in Organic Synthesis" or in the book of Anthony J. Pearson with title "Handbook of Reagents for Organic Synthesis - Activating Agents and Protecting Groups".	REFERENCE
The step B) of the process according to the invention can be comprising a step b-2) of conversion of R3 from a C1-C4 linear or branched alkyl group to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (VII):	EMBODIMENT
The step b-2) of the process according to the invention can be a step of conversion of R3 to hydrogen (i.e. hydrolysis of the esteric group), depending on the nature of the R3, can be carried out differently, using the common general knowledge of the skilled person, evidence of the which can be found in the book of Theodora W Greene with title "Protective Groups in Organic Synthesis" or in the book of Anthony J. Pearson with title "Handbook of Reagents for Organic Synthesis - Activating Agents and Protecting Groups".	REFERENCE
Suitable process for removal (i.e. conversion of R3 to hydrogen) R3, when is a C1-C4 linear or branched alkyl group, is an hydrolysis.	EMBODIMENT
This process requires a treatment of the compound of formula (III) with a solution of base (e.g. NaOH, KOH, LiOH) in water or an alcoholic solvent or a mixture thereof.	EMBODIMENT
The step B) of the process according to the invention can be comprising a step b-3) of conversion of R4 from amine protecting group to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (VIII):	EMBODIMENT
The step b-3) of the process according to the invention can be a step of cleavage of amine protecting group.	EMBODIMENT
The step b-3) of the process according to the invention can be comprising the step of conversion of R4 to hydrogen (i.e. cleavage of amine protecting group), depending on the nature of the R4, can be carried out differently, using the common general knowledge of the skilled person, evidence of the which can be found in the book of Theodora W Greene with title "Protective Groups in Organic Synthesis" or in the book of Anthony J. Pearson with title "Handbook of Reagents for Organic Synthesis - Activating Agents and Protecting Groups".	REFERENCE
According to a preferred embodiment, the step b-1), b-2) and b-3) can be made in any combination of order.	EMBODIMENT
According to a preferred embodiment, the step B) of the process of the present invention, can be comprising the step of simultaneous hydrolysis of the esteric group and cleavage of amine protecting group.	EMBODIMENT
According to a preferred embodiment, the step B) of the process of the present invention, can be comprising the step of simultaneous conversion of R3 from a C1-C4 linear or branched alkyl group to hydrogen and conversion of R4 from amine protecting group to hydrogen;	REPHRASED CLAIM
i.e. to obtain the compound of formula (IX):	EMBODIMENT
According to a preferred embodiment, the step B) of the process of the present invention, is characterized in the simultaneous:	EMBODIMENT
conversion of R1 and R2 from acetyl, methyl, benzyl, a C1-C4 alkyl groups joined to form a cycle to hydrogen;conversion of R3 from a C1-C4 linear or branched alkyl group to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (X):	EMBODIMENT
According to a preferred embodiment, the step B) of the process of the present invention, is characterized in the simultaneous:	EMBODIMENT
conversion of R1 and R2 from acetyl, methyl, benzyl, a C1-C4 alkyl groups joined to form a cycle to hydrogen;conversion of R4 from amine protecting group to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (XI):	EMBODIMENT
According to a preferred embodiment, the step B) of the process of the present invention, is characterized in the simultaneous:	EMBODIMENT
conversion of R1 and R2 from acetyl to hydrogen;conversion of R3 from a C1-C4 linear or branched alkyl group to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (X).	EMBODIMENT
According to a preferred embodiment, the step B) of the process of the present invention, is characterized in the simultaneous:	EMBODIMENT
conversion of R1 and R2 from acetyl to hydrogen;conversion of R4 from amine protecting group to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (XI).	EMBODIMENT
According to a preferred embodiment, the step B) of the process of the present invention, is characterized in the simultaneous:	EMBODIMENT
conversion of R1 and R2 from acetyl to hydrogen;conversion of R3 from a C1-C4 linear or branched alkyl group to hydrogen;conversion of R4 from amine protecting group to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (I):	EMBODIMENT
The step B) of the process according to the invention can be comprising a step or steps of purification or resolution by crystallisation.	EMBODIMENT
According to a preferred embodiment, the step B) can be comprising a step b-4) of purification or resolution of the compound of formula (III) or (IV) or (V) or (VI) or (VII) or (VIII) or (IX) or (X) or (XI);	EMBODIMENT
its allows an efficient purging of the undesired isomer, to obtain an efficient enrichment in terms of enantiomeric excess.	INVENTION_ADVANTAGE
The process of the present invention, at the end of the step B), thus provides Droxidopa having high optical purity, i.e. Droxidopa having typically an optical purity higher than 99.0% (e.e.), i.e. higher than 99.5% expressed as HPLC A/A%.	INVENTION_ADVANTAGE
Preferably, the process of the present invention provides Droxidopa having high optical purity, i.e. Droxidopa having typically an optical purity higher than 99.4% (e.e.), i.e. higher than 99.7% HPLC A/A%.	INVENTION_ADVANTAGE
The enantiomeric excess or "e.e." or "ee" for short is defined as the absolute difference between the mole fractions of two enantiomers and it is often presented as percent enantiomeric excess, % ee, which is obtained by the following calculation: % ee=|R-S|/|R+S|×100%, wherein the amount of the single enantiomers can be often measured by chiral chromatography.	DEFINITION
Obviously and optionally, the process of the present invention can be reapplied on the already optically purified Droxidopa so that Droxidopa having optical purity of 100% can be prepared.	EMBODIMENT
The ratio between the optical isomers threo and erythro from 50:50 to 99:1, is intended as ratio weight by weight which, however, corresponds to the amount determined by HPLC A/A%.	EMBODIMENT
According to a preferred embodiment of the process of the present invention, compound of formula (I) has an diastereoisomeric ratio from threo and erythro (threo/erythro) comprise from 50/50 to 90/10, more preferred from 50/50 and 70/30.	EMBODIMENT
According to a more preferred embodiment of the process of the present invention, compound of formula (I) has an diastereoisomeric ratio 70/30 from threo and erythro (threo/erythro).	EMBODIMENT
According to a preferred embodiment of the present invention, in the step b-4), the ratio between the optical isomers of the compound (III) or (IV) or (V) or (VI) or (VII) or (VIII) or (IX) or (X) or (XI), is from 75:25 to 85:15 since this ratio of isomers is that typically achieved by an enzymatic reduction of the process of the present invention.	EMBODIMENT
Examples illustrating the purification or resolution by crystallization processes, using the common general knowledge of the skilled person, evidence of the which can be found Japanese Patent Application 49,252/75, 36,233/79, 29,551/81 and 32,540/76; European Patent No. 084928; No. 128684; U.S. Patent No. 3920728.	REFERENCE
According to a preferred embodiment of the process of the present invention, the reaction of compound of formula (II) to give compound of formula (I) occurs with a conversion comprised in the range from 20% to at least 95%.	EMBODIMENT
In particular, when the reaction is carried out with an KRED KRED ®130, conversion is at least 95%.	EMBODIMENT
In particular, compound of formula (I) has diastereoisomeric ratio 70/30 from threo and erythro (threo/erythro), when the reaction compound of formula (II) is carried out with an KRED KRED ®130.	EMBODIMENT
According to a preferred embodiment of the process of the present invention, compound of formula (I) has diastereoisomeric ratio at least 75/30 and the employed KRED KRED ®130.	EMBODIMENT
According to a preferred embodiment of the process of the present invention, the reaction of compound of formula (II) to give compound of formula (III) occurs with a conversion comprised in the range from 20% to at least 95%.	EMBODIMENT
In particular, when the reaction is carried out with an KRED KRED ®130, conversion is at least 95%.	EMBODIMENT
According to a preferred embodiment of the process of the present invention, compound of formula (III) has an diastereoisomeric ratio from threo and erythro (threo/erythro) comprise from 50/50 to 90/10, more preferred from 50/50 and 70/30.	EMBODIMENT
According to a more preferred embodiment of the process of the present invention, compound of formula (III) has an diastereoisomeric ratio 70/30 from threo and erythro (threo/erythro).	EMBODIMENT
In particular, compound of formula (III) has diastereoisomeric ratio 70/30 from threo and erythro (threo/erythro), when the reaction compound of formula (II) is carried out with an KRED KRED ®130.	EMBODIMENT
According to a preferred embodiment of the process of the present invention, compound of formula (III) has diastereoisomeric ratio at least 75/30 and the employed KRED KRED ®130.	EMBODIMENT
The diastereoisomeric ratio is defined as the absolute ratio between the mole fractions of threo isomer and the mole fraction of erythro isomer, which is obtained by the following calculation: ratio =|Threo|/|Erythro|, wherein the amount of the single enantiomers can be often measured by chiral chromatography.	DEFINITION
The compound of formula (III):wherein R1, R2 are independently hydrogen or acetyl, R3 is hydrogen, a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group;	REPHRASED CLAIM
can be thus prepared by a process comprising a step of enzymatic reduction of a compound of formula (II):wherein R1, R2, R3, R4 have the same meaning of above;by means of a ketoreducyase enzyme.	REPHRASED CLAIM
The compound of formula (II):wherein R1, R2 are independently hydrogen or acetyl, R3 is hydrogen, a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group;	REPHRASED CLAIM
can be used for the preparations of compound of formula (III):wherein R1, R2, R3, R4 have the same meaning of above;or for the preparation of Droxidopa of formula (I) or salt thereof:	REPHRASED CLAIM
A ketoreductase can be thus used to carry out the enzymatic reduction of compound of formula (II):wherein R1, R2 are independently hydrogen or acetyl, R3 is hydrogen, a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group, to provide a compound of formula (III):wherein R1, R2, R3, R4 have the same meaning of above;or to provide Droxidopa of formula (I) or salt thereof:	REPHRASED CLAIM
Thus, according to a preferred embodiment, the ketoreductase used for the carried out the enzymatic reduction of the compound of formula (II), is KRED ®130.	REPHRASED CLAIM
The process of the present invention thus also provides new intermediates, i.e. the compound of formula (II):wherein R1, R2 are independently hydrogen or acetyl, R3 is hydrogen, a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group.	REPHRASED CLAIM
The process of the present invention thus also provides new intermediates, i.e. the compound of formula (III):wherein R1, R2 are independently hydrogen or acetyl, R3 is hydrogen, a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group;with the exception of the compounds wherein:	REPHRASED CLAIM
R1, R2 and R4 are hydrogen, R3 is methyl;	REPHRASED CLAIM
R1, R2 and R4 are hydrogen, R3 is ethyl;	REPHRASED CLAIM
R1 and R2 are hydrogen, acetyl, R3 is ethyl and R4 is acetyl;	REPHRASED CLAIM
R1, R2 and R4 are acetyl, R3 is ethyl.	REPHRASED CLAIM
Further, the enzymatic reduction process is environmentally advantageous as compared to the prior art process wherein organometallic chiral catalyst are used in the prior art.	INVENTION_ADVANTAGE
The use of an enzyme as the reducing agent is cheaper compared to the use of a organometallic chiral catalyst.	INVENTION_ADVANTAGE
In addition, resolution using chiral amine according to known methods leads to about 50% loss of undesired isomer and hence it is not industrially suitable.	REFERENCE_PROBLEM
EXPERIMENTAL SECTION	SECTION SUBTITLE
The ketoredctase enzyme are largely commercially available, for example, for supplied by Codexis (USA), for example the Codexis® KRED screening kit.	REFERENCE
The starting material compound of formula (II) having the following formula or:wherein R1, R2 are independently hydrogen or acetyl, R3 is hydrogen or a C1-C4 linear or branched alkyl group and R4 is hydrogen or an amine protecting group; are prepared according to the know prior art method of synthesis.	REFERENCE
A few methods for the preparation of compound of formula (II) have been described, for example, Kazuishi Makino at all in Journal of the American Chemical Society (2005), 127, (16), 5784-5785;	REFERENCE
Brinton Seashore-Ludlow at all in Organic Letters (2010), 12, (22), 5274-5277;	REFERENCE
Zheng Long-Sheng at all in Chemical Communications, 54(3), 283-286; 2018;	REFERENCE
Guan, Yu-Qing at all in Chemical Communications, 53(58), 8136-8139; 2017;	REFERENCE
Seashore-Ludlow, Brinton at all in Chemistry A European Journal, 18(23), 7219-7223, 2012.	REFERENCE
Volumes means volume of solvent per unit of product, thus, for example, 1 volume is 1 Liter per 1 Kilo, or 1 mL for 1 gram, or 1 microliter per 1 milligram.	DEFINITION
Thus, 10 volumes means for example 10 liters per 1 Kilogram of substance.	DEFINITION
Example 1: Screening of Codexis® KRED screening kit in the enzymatic reduction of compound of formula (II) wherein R1 and R2 is acetyl, R3 is ethyl, R4 is Boc.	EMBODIMENT
The reaction were performed in 1 ml in a vial and shaken overnight at room temperature for the isopropanol dependent enzymes, the condition of reaction were: 115.2 mM sodium phosphate buffer, 1.53 mM magnesium sulphate, 1 mM NADP+, 10%v/v isopropanol, 10 mg/ml of compound of formula (II) wherein R1 and R2 is acetyl, R3 is ethyl, R4 is Boc., 10 mg/ml of enzyme, pH 7.	EMBODIMENT
For the glucose dependent enzymes the condition of reaction were: 128 mM sodium phosphate 1.7 mM magnesium sulphate, 1.1 mM NADP+1.1 mM NAD+, 80 mM D-glucose, 4.3 U/ml glucose dehydrogenase, 10 mg/ml of compound of formula (II) wherein R1 and R2 is acetyl, R3 is ethyl, R4 is Boc., pH 7.	EMBODIMENT
The reaction was analysed in HPLC-MS to confirm desiderated product mass.	EMBODIMENT
Also the chiral purity was evaluated by HPLC and was observed between the threo and erythro form.	EMBODIMENT
Example 2: Synthesis of Droxidopa BOC of formula (I) by enzymatic reduction of the compound of formula (II) wherein R1 and R2 is acetyl, R3 is ethyl, R4 is Boc.	EMBODIMENT
To 1 g of compound of formula (II) (wherein R1 and R2 is acetyl, R3 is ethyl, R4 is Boc) was added 20 mg of MgSO4, 50 mg of CDX-901 (cofactor regeneration enzyme, glucose dehydrogenase), 200 mg of KRED-130, 50 mg of NADP+, 1 g of Glucose in 50 ml of 100 mM phosphate buffer at pH 7.	EMBODIMENT
The reaction was performed at 25°C and it was maintained at pH 7 by addition of NaOH 0.5 M by automatic titration.	EMBODIMENT
After 64 h of reaction analysis give about 80 A% of Droxydopa BOC.	EMBODIMENT
The reaction was quenched with 100 ml of EtOAc and 1 g of dicalite and filtered to removed enzyme and organic layer was separated.	EMBODIMENT
Aqueous layer was washed twice with 100 ml of EtOAc.	EMBODIMENT
Join organic layer was distilled to residue obtaining 0.7 g of crude of the Droxydopa BOC.	EMBODIMENT
Product analysed by HPLC-MS analysis.	EMBODIMENT
Example 3: Synthesis of Droxidopa BOC of formula (I) by enzymatic reduction of the compound of formula (II) wherein R1 and R2 is acetyl, R3 is ethyl, R4 is BOC.	EMBODIMENT
To 3.0g of compound of formula (II) (wherein R1 and R2 is acetyl, R3 is ethyl, R4 is BOC) was added to a solution of 60 mg of MgSO4, 150 mg of CDX-901 (cofactor regeneration enzyme, glucose dehydrogenase), 600 mg of KRED-130, 150 mg of NADP+, 3 g of Glucose in 150 ml of 100 mM phosphate buffer at pH 7.	EMBODIMENT
The reaction mixture was stirred at 25°C and it was maintained at pH 7 by addition of NaOH 0.5 M by automatic titration.	EMBODIMENT
After 15 and 24 h of reaction 150 mg of NADP+ and 150 mg of CDX-901 were added.	EMBODIMENT
The reaction conversion was monitored by HPLC, and after 120 h the reaction was quenched with 100ml of EtOAc and 1 g of dicalite, then the suspension was filtered to remove the enzyme and organic layer was separated.	EMBODIMENT
Aqueous layer was washed twice with 50 ml of EtOAc.	EMBODIMENT
The jointed organic layer was dried with Na2SO4 and distilled to residue obtaining 3.0 g of crude of Droxidopa BOC that spontaneously crystalized.	EMBODIMENT
Analysis of isolate crystal Droxidopa BOC was about 60 A%.	EMBODIMENT
Example 4: Synthesis of Droxidopa Ethyl Estere of formula (I) by by chemical cleavage of Boc N-protection group.	EMBODIMENT
To 70 mg of Droxidopa BOC obtained in the example 3 was dissolved in 1 ml of dichloromethane.	EMBODIMENT
At 25°C was added 1 ml of TFA and the conversion was monitored by HPLC.	EMBODIMENT
After complete cleavage of BOC the product Droxidopa ethyl ester was isolated by concentration to residue with a flow of nitrogen.	EMBODIMENT
Example 5: Synthesis of Droxidopa of formula (I) by chemical hydrolysis of R3, wherein R3 is ethyl.	EMBODIMENT
To 25 mg of isolated Droxydopa ethyl ester obtained in the example 4 was added to 1 ml of NaOH 3M.	EMBODIMENT
The reaction was mixed for 2h at room temperature and monitored by HPLC.	EMBODIMENT
After complete hydrolysis the reaction was neutralized with HCI 10% solution and crude Droxidopa was isolated by concentration the solution to residue with a flow of nitrogen.	EMBODIMENT
Isolated Droxidopa was analysed for diastereoisomeric purity by HPLC, where a ratio of 70:30 A% was observed between the threo Droxydopa and erythro Droxydopa form.	EMBODIMENT
Example 6: Synthesis of Droxidopa Ethyl Estere of formula (I) by by chemical cleavage of Boc N-protection group.	EMBODIMENT
To 1 g of crude Droxidopa BOC obtained in the example 3 was dissolved in 10ml of dichloromethane.	EMBODIMENT
At 25°C was added 1,5 ml of TFA and conversion monitored by HPLC.	EMBODIMENT
After complete cleavage of BOC, the pH was neutralized with addition of saturated solution of NaHCO3.	EMBODIMENT
The product was isolated by concentration to residue obtaining about 1.3 g of crude Droxidopa ethyl ester.	EMBODIMENT
Isolated product was analysed in HPLC-MS to confirm mass (Mw 241).	EMBODIMENT
Also the diastereoisomeric purity was evaluated by HPLC, where a ratio of 72:28 A% was observed between the threo and erythro form.	EMBODIMENT
Example 7: Synthesis of Droxidopa of formula (I) by chemical hydrolysis of R3, wherein R3 is ethyl.	EMBODIMENT
To 100 mg of isolated Droxydopa ethyl ester from example 6 was added to 1 ml of water.	EMBODIMENT
Then 100 µl of NaOH 10M was added and mix for 30 min.	EMBODIMENT
The reaction was monitored by HPLC.	EMBODIMENT
After complete hydrolysis, the reaction was neutralized with HCI 10% solution and crude Droxidopa isolated by concentration to residue with a flow of nitrogen.	EMBODIMENT
The isolated product, about 100 mg, was analysed for evaluate diastereoisomeric purity by HPLC.	EMBODIMENT
A ratio of 70:30 A% was observed between the threo Droxydopa and erythro Droxydopa form	EMBODIMENT
Example 8: Synthesis of Droxidopa BOC of formula (I) by enzymatic reduction of the compound of formula (II) wherein R1 and R2 is acetyl, R3 is ethyl, R4 is BOC.	EMBODIMENT
In 75 ml of 50 mM phosphate buffer at pH 7 was added 20 mg of MgSO4, 25 mg of CDX-901 (cofactor regeneration enzyme, glucose dehydrogenase), 200 mg of KRED-130, 75 mg of NADP+, 1.3 g of Glucose.	EMBODIMENT
The suspension was mix at 30°C and pH correct to 7 with NaOH 0.5 M.	EMBODIMENT
Subsequently a solution composed by 1.5 g of compound of formula (II) (wherein R1 and R2 is acetyl, R3 is ethyl, R4 is BOC) dissolved in 3.25 ml of DMSO was added in 10 min to the suspension.	EMBODIMENT
The reaction was performed at 30°C and it was maintained at pH 7 by addition of NaOH 0.5 M by automatic titration.	EMBODIMENT
After 9 h and 17 h of reaction were added 75 mg of NADP+ and 25 mg of CDX-901.	EMBODIMENT
The reaction conversion was monitored by HPLC, and after 22 h the reaction was filtered to removed undissolved material.	EMBODIMENT
To the mother liquor was added 50 ml of EtOAc and 1,5 g of dicalite, mixed for 30 min, then it was filtered and filtrated washed with 50 ml of EtOAc.	EMBODIMENT
To the obtained solution was added 20 ml of NaCl and organic layer separated.	EMBODIMENT
Aqueous layer was extracted again with 20 ml of EtAc and the joined organic layer wash with 30 ml of water.	EMBODIMENT
The organic layer was distilled to residue and stripped twice with 30 ml of DCM.	EMBODIMENT
Finally 0.9 g of Droxidopa BOC was obtained and analysed.	EMBODIMENT
Example 9: Synthesis of Droxidopa Ethyl Estere of formula (I) by by chemical cleavage of Boc N-protection group.	EMBODIMENT
To 0.9 g of Droxidopa BOC obtained in the example 8, was dissolved in 10 ml of dichloromethane.	EMBODIMENT
Then to the obtained solution at 25°C was added 1,5 ml of TFA in 10 min.	EMBODIMENT
The obtained reaction mixture was stirred at 25°C foe 1 h.	EMBODIMENT
Conversion was monitored by HPLC.	EMBODIMENT
After complete cleavage of BOC, the pH was neutralized with addition of saturated solution of NaHCO3.	EMBODIMENT
The product was isolated by evaporation to residue obtaining about 0.9 g of crude Droxidopa ethyl ester.	EMBODIMENT
Isolated product was analysed in HPLC-MS to confirm mass (Mw 241).	EMBODIMENT
Also the diastereoisomeric purity was evaluated by HPLC, where a ratio of 72:28 A% was observed between the putative threo and erythro form.	EMBODIMENT
Example 10: Synthesis of Droxidopa of formula (I) by chemical hydrolysis of R3, wherein R3 is ethyl.	EMBODIMENT
To 0.5 mg of isolated Droxydopa ethyl ester obtained in the example 9 was added to 6 ml NaOH 3 M.	EMBODIMENT
The reaction mixture was stirred for 1 h at 25 °C and conversion monitored by HPLC.	EMBODIMENT
After complete hydrolysis, the reaction was neutralized with HCI 10% solution and crude Droxidopa was isolated by concentration the solution to residue with flow of nitrogen.	EMBODIMENT
The isolated product, about 0.5 g was analysed for evaluate diastereisomeric purity by HPLC, where a ratio of 72:28 A% was observed between the threo Droxydopa and erythro Droxydopa form.	EMBODIMENT
Example 11: Analytical method to analyse the reaction product.	EMBODIMENT
Determination of purity, diastereoisomeric purity and assay by HPLC:	EMBODIMENT
Chromatographic conditions:	EMBODIMENT
Column:Luna C18(2) 100Å, 150 x 4.6 mm, 3.0 µmMobile phase A:Dissolve 1.0 g of sodium 1-heptanesulfonate and 1.36 g of potassium dihydrogen phosphate in 1000 mL of water and adjust the pH to 2.0 with phosphoric acid.	EMBODIMENT
To 930 mL of this solution add 70 mL of acetonitrile.	EMBODIMENT
Detector:UV at 220 nmFlow Rate:1.0 mL/min.	EMBODIMENT
Column Temperature:25°CInjection volume:50 µLRun time:35 minutesDiluent:MilliQ water.	EMBODIMENT
