COMPACT HEAD-MOUNTED DISPLAY SYSTEM HAVING UNIFORM IMAGE	PATENT TITLE
Here, the two unequal rays 212 and 214 intersect with each other at point 215 on the coated interface plane 210 along with other intersections with other rays at points 216 and 217.	FIGURE DESCRIPTION
This is in addition to the intersections on the lower beam-splitting interface plane167.	FIGURE DESCRIPTION
As a result, it is expected that the uniformity of the reflected rays 218 and 220 will be even better than that of the embodiments of Figs. 13A and 13B.	INVENTION_ADVANTAGE
Naturally, the fabrication method of the LOE having two beam-splitting interface planes is more difficult than that of having only a single plane.	INVENTION_PROBLEM
Therefore, it should be considered only for systems wherein the non-uniformity problem is severe.	EMBODIMENT
As before, it is important that all of the four reflecting surfaces and planes 26, 27, 167 and 210, should be parallel to each other.	FIGURE DESCRIPTION
f. The transparent plate 120 should not be necessarily fabricated from the same optical material as the LOE 20.	EMBODIMENT
Furthermore, the LOE might be fabricated of a silicate based material while, for the sake of eye safety, the transparent layer may be fabricated of a polymer based material.	EMBODIMENT
Naturally, care should be taken to ensure optical qualities of the external surfaces and to avoid deformation of the transparent plate.	EMBODIMENT
g. So far it was assumed that the transparent plate is totally blank.	EMBODIMENT
However, as illustrated in Fig. 17, partially reflecting surfaces 222a and 222b, may be fabricated inside the plate 120, in order to increase the useable volume of the LOE.	FIGURE DESCRIPTION
These surfaces should be strictly parallel to the existing surfaces 22a and 22b and oriented at exactly the same orientation.	FIGURE DESCRIPTION
All the various parameters of the above embodiments, such as, the thickness and the optical material of the plate 120, the exact nature of the beam-splitting coating, the number of the beam-splitting surfaces and location of the partially reflecting surface inside the LOE, could have many different possible values.	EMBODIMENT
The exact values of these factors are determined according to the various parameters of the optical system as well as the specific requirements for optical quality and fabrication costs.	EMBODIMENT
So far, it was assumed that the light waves are coupled out from the substrate by partially reflecting surfaces, which are oriented at an oblique angle in relation to the major surfaces, and usually coated with a dielectric coating.	EMBODIMENT
As illustrated in Fig. 18A, however, there are systems wherein the light waves are coupled into and out from the substrate utilizing diffractive elements 230 and 232, respectively.	FIGURE DESCRIPTION
The same uniformity issues that were discussed above should also be relevant to this configuration.	EMBODIMENT
As illustrated, the two rays 234 and 236 from the same point in the display source are coupled into the substrate 238 remotely located from each other at the two edges of the coupling-in element 230.	FIGURE DESCRIPTION
The rays are coupled-out by the coupling-out element 232 located adjacent to each other.	FIGURE DESCRIPTION
Therefore, any dissimilarity between the rays will be easily seen in the coupled-out wave.	INVENTION_ADVANTAGE
In addition, in order to validate a uniformed coupled-out image the diffractive efficiency of the coupling-out element 232 is increased gradually.	EMBODIMENT
As a result, different rays from the same point source might pass through different locations in the element 232 before being coupled-out the element and hence will have different brightness in the image.	EMBODIMENT
Another source for the unevenness can be caused by the fact that the ray 234 is partially diffracted out of the substrate at the right edge 240 of the grating 232 while ray 236 impinges on the lower surface just left of the grating, and hence, is not diffracted there.	FIGURE DESCRIPTION
As a result, for all the coupling-out locations in the grating 232 for the two adjacent rays 234 and 236, ray 236 will have a higher brightness and this difference will easily be seen.	INVENTION_ADVANTAGE
Fig. 18B illustrates a similar approach to solve these issues.	FIGURE DESCRIPTION
As illustrated, a transparent plate 242 is cemented to the upper surface 244 of the substrate 238, wherein the interface surface 246 is coated with a beam-splitting coating similar to the above-described coatings.	FIGURE DESCRIPTION
