PLASMA-GENERATING DEVICE	PATENT TITLE
Specifically, for example, in an embodiment above, as shown in fig. 3, protruding section 80 protruding down from second bottom surface 84 is formed on the bottom surface of holders 72 and 74, and stepped surfaces 46 and 48 recessed downward from contact surface 140 are formed on the top surface of lower block 14.	FIGURE DESCRIPTION
Second bottom surface 84 and contact surface 140 are in contact with each other, and protruding section 80 and stepped surfaces 46 and 48 are facing each other with a clearance.	FIGURE DESCRIPTION
On the other hand, as shown in fig. 11, stepped surface 200 recessed upward from second bottom surface 84 may be formed on bottom surface of holders 72 and 74, and protruding section 210 protruding upward from contact surface 140 may be formed on the top surface of lower block 14.	FIGURE DESCRIPTION
Further, second bottom surface 84 and contact surface 140 may be in contact with each other, and stepped surface 200 and protruding section 210 may face each other with a clearance.	FIGURE DESCRIPTION
Further, in an embodiment above, the present invention is applied to atmospheric pressure plasma-generating device 10, but the present invention may be applied to a plasma-generating device in which plasma is generated under reduced pressure.	EMBODIMENT
Also, in an embodiment above, as shown in fig. 8, the space between pair of electrodes 24 and 26 is defined as a space between two straight lines (two-dash broken lines 148) passing through the pair of electrodes 24 and 26 and perpendicular to the straight line connecting the pair of electrodes 24 and 26, but the space is not limited thereto and may be defined in various manners.	FIGURE DESCRIPTION
For example, the space between pair of electrodes 24 and 26 may be defined as the space between two straight lines passing through side surfaces 106 of the discharging sides of the pair of electrodes 24 and 26 and perpendicular to the straight line connecting the pair of electrodes 24 and 26.	FIGURE DESCRIPTION
In addition, dry air may be used as the processing gas in an embodiment above.	EMBODIMENT
Reference Signs List	SECTION TITLE
10: atmospheric pressure plasma generation device (plasma generation device);12: internal block (casing);24: electrode;26: electrode;30: upper block (block);40: connecting recess (first recess);46: stepped surface;48: stepped surface;72: holder;74: holder;76: connecting section;80: protruding section;126: recess (second recess);128: elastic body	FIGURE DESCRIPTION
