SHOVEL, SHOVEL CONTROL METHOD, AND MOBILE INFORMATION TERMINAL	PATENT TITLE
This is because, particularly in the diagnosis of the rotation system, the rotation load is greatly influenced by the rotational moment of inertia that is based on the change in the attitude of the attachment.	EMBODIMENT
Therefore, the controller 30 drives the boom 4, the arm 5, and the bucket 6 such that the attachment is set in the predetermined attitude.	EMBODIMENT
Also, when a heavy end attachment such as a breaker is attached to the arm 5, the controller 30 may ask the operator to change the end attachment to a normal bucket 6.	EMBODIMENT
In this way, the attachment is adjusted before driving the rotation drive mechanism so that the moment of inertia generated during the rotation becomes constant.	EMBODIMENT
After the adjustment, the controller 30 outputs predetermined drive commands to the operation valve 100 to execute the rotation operation.	EMBODIMENT
Based on the drive commands for driving the rotating hydraulic motor 2A to accelerate, rotate at a constant speed, and decelerate, the rotating hydraulic motor 2A can perform the rotation preset operation.	EMBODIMENT
Through the above process, diagnosis of the rotating hydraulic motor 2A, the hydraulic circuit for the rotating hydraulic motor 2A, and the rotation speed reducer can be performed.	EMBODIMENT
For example, if a failure occurs in the relief valve of the hydraulic circuit, the rotation acceleration is reduced.	EMBODIMENT
Such a failure can be detected based on a change in the pressure detection value of the hydraulic circuit of the rotating hydraulic motor 2A.	EMBODIMENT
Next, an example of a process where the shovel PS of the present embodiment obtains data used for analysis at the management apparatus 90 is described with reference to FIG. 4.	FIGURE DESCRIPTION
FIG. 4 is a flowchart illustrating an example of a process for obtaining data used for analysis at the management apparatus 90.	FIGURE DESCRIPTION
First, the controller 30 determines whether a diagnosis menu item has been selected by the operator (step ST11).	FIGURE DESCRIPTION
For example, the operator selects a diagnosis menu item to be executed by touching the diagnosis menu item in the diagnosis menu displayed on the diagnosis menu display 410.	EMBODIMENT
In this example, it is assumed that "Hydraulic System" is selected as the diagnosis menu item.	EMBODIMENT
Hydraulic System includes an "arm closing operation" as a preset operation α and a "boom raising operation" as a preset operation β.	EMBODIMENT
When the diagnosis menu item is selected by the operator at step ST11, the controller 30 sounds an alarm to alert the surrounding people and executes the preset operations according to instructions in the diagnosis menu item selected at step ST11 (step ST12).	FIGURE DESCRIPTION
In this example, because "Hydraulic System" is selected, the controller 30 executes the preset operation α included in "Hydraulic System".	EMBODIMENT
First, the controller 30 calculates the current attitude of the shovel PS based on detection values transmitted from the boom angle sensor S1, the arm angle sensor S2, and the bucket angle sensor S3.	EMBODIMENT
Next, the controller 30 controls the operation valves 100 such that the calculated attitude of the shovel PS matches an initial position (initial attitude) for the preset operation α (initial operation).	EMBODIMENT
After the attitude of the shovel PS matches the initial attitude for the preset operation α, the controller 30 controls the operation valves 100 to execute the preset operation α.	EMBODIMENT
For safety, the controller 30 is preferably configured to cause the shovel PS to perform the preset operation when the gate lock lever 49 is in the unlocked state.	EMBODIMENT
Along with the execution of the preset operation at step ST12, detection values detected by various state detecting sensors during the execution of the preset operation are stored in the temporary storage 30a (step ST13).	FIGURE DESCRIPTION
For example, the detection values of the state detecting sensors may be detected at every predetermined sampling period, transmitted to the controller 30, and stored in the temporary storage 30a.	EMBODIMENT
Next, the controller 30 determines whether the preset operation has been completed (step ST14).	FIGURE DESCRIPTION
The controller 30 determines whether the preset operation has been completed based on data indicating the detection values that are obtained from sensors such as the boom angle sensor S1, the arm angle sensor S2, the bucket angle sensor S3, and the body tilt sensor S4 and stored in the temporary storage 30a at step ST13.	EMBODIMENT
When it is determined at step ST14 that the preset operation has not been completed, the process returns to step ST13, and the controller 30 continues to store detection values detected by the state detecting sensors during the execution of the preset operation in the temporary storage 30a.	FIGURE DESCRIPTION
When it is determined at step ST14 that the preset operation has been completed, the controller 30 associates the detection values detected by the state detecting sensors during the execution of the preset operation with information on the preset operation, and stores the detection values associated with the preset operation in a transmission information storage 30b (step ST15).	EMBODIMENT
In this example, the preset operation α is associated with the detection values that are detected by the state detecting sensors during the execution of the preset operation α and stored in the temporary storage 30a, and data indicating the detection values associated with the preset operation α is stored in the transmission information storage 30b.	EMBODIMENT
Next, the controller 30 determines whether the selected diagnosis menu item includes another preset operation (step ST16).	FIGURE DESCRIPTION
In this example, because the selected diagnosis menu item includes the preset operation β in addition to the preset operation α, the process returns to step ST12, and steps ST12 through ST15 are executed for the preset operation β.	FIGURE DESCRIPTION
When the initial position for the preset operation β is the same as the end position in the preset operation α, it is not necessary to control the operation valves 100 to adjust the attitude of the shovel PS to match the initial attitude for the preset operation β.	EMBODIMENT
Similarly to the preset operation α, along with the execution of the preset operation (the preset operation β) at step ST12, detection values detected by the state detecting sensors during the execution of the preset operation are stored in the temporary storage 30a (step ST13).	EMBODIMENT
The controller 30 determines whether the preset operation has been completed (step ST14).	FIGURE DESCRIPTION
When it is determined that the preset operation has been completed, the controller 30 associates the detection values detected by the state detecting sensors during the execution of the preset operation with information on the preset operation, and stores the detection values associated with the preset operation in the transmission information storage 30b (step ST15).	FIGURE DESCRIPTION
In this example, the preset operation β is associated with the detection values that are detected by the state detecting sensors during the execution of the preset operation β and stored in the temporary storage 30a, and data indicating the detection values associated with the preset operation β is stored in the transmission information storage 30b.	EMBODIMENT
Next, the controller 30 determines whether the selected diagnosis menu item includes another preset operation (step ST16).	FIGURE DESCRIPTION
In this example, because the selected diagnosis menu item "Hydraulic System" includes no preset operation other than the preset operations α and β, the process proceeds to step ST17.	EMBODIMENT
At step ST17, the controller 30 displays, on the display device 40, information indicating that the measurement has been completed and measurement data is to be transmitted;	EMBODIMENT
and then transmits, to the management apparatus 90, the data that is stored in the transmission information storage 30b and includes the detection values of the state detecting sensors associated with the information on the preset operations.	EMBODIMENT
In this example, the controller 30 transmits the detection values that are associated with the preset operation α and detected by the state detecting sensors during the execution of the preset operation α, and the detection values that are associated with the preset operation β and detected by the state detecting sensors during the execution of the preset operation β.	EMBODIMENT
Then, the process for obtaining data used for analysis at the management apparatus 90 ends.	FIGURE DESCRIPTION
In the example of FIG. 4, the data transmitted to the management apparatus 90 is associated with each of the preset operations (the preset operations α and β).	FIGURE DESCRIPTION
This enables the specialized staff (e.g., a designer) at the management apparatus 90 to easily recognize the assumption for analysis, i.e., operational conditions under which the data has been obtained, and makes it possible to reduce analysis time for determining the states of the shovel PS and to efficiently perform the analysis.	INVENTION_ADVANTAGE
Also, because the analysis is performed based on data whose operational conditions are known, it is possible to make effective judgments on the states of the shovel PS (e.g., presence/absence of a failure or malfunction, the degree of the failure or malfunction, the location of the failure or malfunction, the cause of the failure or malfunction, etc.) based on the analysis results.	INVENTION_ADVANTAGE
A diagnostic program for the shovel PS may be preinstalled in the management apparatus 90.	EMBODIMENT
In this case, the management apparatus 90 can perform failure diagnosis and failure prediction based on the detection values transmitted from the shovel PS.	EMBODIMENT
In the example of FIG. 4, the controller 30 executes a preset operation to obtain data to be transmitted to the management apparatus 90.	EMBODIMENT
Also, detection values detected by sensors during the preset operation are associated with the preset operation and transmitted to the management apparatus 90.	EMBODIMENT
This eliminates the need for the operator to operate the operation device 26.	EMBODIMENT
Thus, the present embodiment makes it possible to reduce the burden of operators and reduce operational variations resulting from the differences in the skill of the operators.	INVENTION_ADVANTAGE
This in turn makes it possible to obtain highly-reliable data, to perform reliable analysis based on the data, and to make effective judgments on the states of the shovel PS.	INVENTION_ADVANTAGE
Next, another example of a process where the shovel PS of the present embodiment obtains data used for analysis at the management apparatus 90 is described with reference to FIG. 5.	FIGURE DESCRIPTION
FIG. 5 is a flowchart illustrating another example of a process for obtaining data used for analysis at the management apparatus 90.	FIGURE DESCRIPTION
The example of FIG. 5 differs from the example of FIG. 4 in that if, for example, a person exists around the shovel PS when a diagnosis menu item is selected, the process for obtaining data used for analysis at the management apparatus 90 is terminated without executing any preset operation.	FIGURE DESCRIPTION
Below, differences from the example of FIG. 4 are mainly described.	FIGURE DESCRIPTION
First, the controller 30 determines whether a diagnosis menu item has been selected by the operator (step ST21).	FIGURE DESCRIPTION
For example, the operator selects a diagnosis menu item to be executed by touching the diagnosis menu item in the diagnosis menu displayed on the diagnosis menu display 410.	EMBODIMENT
In this example, it is assumed that "Hydraulic System" is selected as the diagnosis menu item.	EMBODIMENT
Hydraulic System includes an "arm closing operation" as a preset operation α and a "boom raising operation" as a preset operation β.	EMBODIMENT
When the diagnosis menu item is selected by the operator at step ST21, the controller 30 determines whether, for example, a person exists around the shovel PS (step ST22).	FIGURE DESCRIPTION
Specifically, the controller 30 determines whether a person exists around the shovel PS based on images captured by the imaging apparatus 80 provided in the shovel PS.	EMBODIMENT
Also, various human body detecting sensors capable of detecting humans may be used to determine whether a person exists around the shovel PS.	EMBODIMENT
When it is determined at step ST22 that a person exists around the shovel PS, the controller 30 displays, on the display device 40, a message indicating that a person exists around the shovel PS (step ST23). Then, the process is terminated.	FIGURE DESCRIPTION
When it is determined at step ST22 that no person exists around the shovel PS, the process proceeds to step ST24.	FIGURE DESCRIPTION
Steps ST24 through ST29 may be substantially the same as steps ST12 through ST17 in the example of FIG. 4.	FIGURE DESCRIPTION
Then, the process for obtaining data used for analysis at the management apparatus 90 ends.	FIGURE DESCRIPTION
In the example of FIG. 5, in addition to the example of FIG. 4, if a person exists around the shovel PS, the controller 30 does not execute the preset operation even if a diagnosis menu item is selected by the operator.	FIGURE DESCRIPTION
This improves safety.	INVENTION_ADVANTAGE
Next, another example of a process where the shovel PS of the present embodiment obtains data used for analysis at the management apparatus 90 is described with reference to FIG. 6.	FIGURE DESCRIPTION
FIG. 6 is a flowchart illustrating another example of a process for obtaining data used for analysis at the management apparatus 90.	FIGURE DESCRIPTION
The example of FIG. 6 differs from the example of FIG. 4 in that the process for obtaining data used for analysis at the management apparatus 90 is terminated in the middle when, for example, a person enters the area around the shovel PS during the execution of the preset operation.	FIGURE DESCRIPTION
Below, differences from the example of FIG. 4 are mainly described.	FIGURE DESCRIPTION
First, the controller 30 determines whether a diagnosis menu item has been selected by the operator (step ST31).	FIGURE DESCRIPTION
For example, the operator selects a diagnosis menu item to be executed by touching the diagnosis menu item in the diagnosis menu displayed on the diagnosis menu display 410.	EMBODIMENT
In this example, it is assumed that "Hydraulic System" is selected as the diagnosis menu item.	EMBODIMENT
Hydraulic System includes an "arm closing operation" as a preset operation α and a "boom raising operation" as a preset operation β.	EMBODIMENT
When the diagnosis menu item is selected by the operator at step ST31, the controller 30 sounds an alarm to alert the surrounding people and executes the preset operations according to instructions in the diagnosis menu item selected at step ST31 (step ST32).	FIGURE DESCRIPTION
In this example, because "Hydraulic System" is selected, the controller 30 executes the preset operation α included in "Hydraulic System".	EMBODIMENT
First, the controller 30 calculates the current attitude of the shovel PS based on detection values transmitted from the boom angle sensor S1, the arm angle sensor S2, and the bucket angle sensor S3.	EMBODIMENT
Next, the controller 30 controls the operation valves 100 such that the calculated attitude of the shovel PS matches an initial position (initial attitude) for the preset operation α (initial operation).	EMBODIMENT
After the attitude of the shovel PS matches the initial attitude for the preset operation α, the controller 30 controls the operation valves 100 to execute the preset operation α.	EMBODIMENT
Along with the execution of the preset operation at step ST32, detection values detected by various state detecting sensors during the execution of the preset operation are stored in the temporary storage 30a (step ST33).	FIGURE DESCRIPTION
For example, the detection values of the state detecting sensors may be detected at every predetermined sampling period, transmitted to the controller 30, and stored in the temporary storage 30a.	EMBODIMENT
Also, along with the execution of the preset operation at step ST32, the controller 30 determines whether, for example, a person exists around the shovel PS (step ST34).	FIGURE DESCRIPTION
Specifically, the controller 30 determines whether a person exists around the shovel PS based on images captured by the imaging apparatus 80 provided in the shovel PS.	EMBODIMENT
Also, various human body detecting sensors capable of detecting humans may be used to determine whether a person exists around the shovel PS.	EMBODIMENT
When it is determined at step ST34 that a person exists around the shovel PS, the controller 30 displays, on the display device 40, a message indicating that a person exists around the shovel PS (step ST39).	FIGURE DESCRIPTION
Then, the controller 30 stops the preset operation (step ST40), and deletes detection values detected by the state detecting sensors during the stopped preset operation from the temporary storage 30a (step ST41).	FIGURE DESCRIPTION
Then, the process is terminated.	FIGURE DESCRIPTION
Before terminating the process, the controller 30 may display a screen for selecting whether to terminate or resume the process on the image display 41.	EMBODIMENT
In this case, if the resumption of the process is selected by the operator, the controller 30 resumes the process from the stopped preset operation in the selected diagnosis menu item.	EMBODIMENT
For example, if the process is stopped during the execution of the preset operation α, the controller 30 resumes the process from the preset operation α.	EMBODIMENT
When it is determined at step ST34 that no person exists around the shovel PS, the process proceeds to step ST24.	FIGURE DESCRIPTION
At step ST35, the controller 30 determines whether the preset operation has been completed (step ST35).	FIGURE DESCRIPTION
The controller 30 determines whether the preset operation has been completed based on data indicating the detection values detected by the boom angle sensor S1, the arm angle sensor S2, the bucket angle sensor S3, and the body tilt sensor S4 and stored in the temporary storage 30a at step ST33.	FIGURE DESCRIPTION
When it is determined at step ST35 that the preset operation has not been completed, the process returns to step ST33 and stores detection values detected by the state detecting sensors during the execution of the preset operation in the temporary storage 30a.	FIGURE DESCRIPTION
Then, the controller 30 determines again whether a person exists around the shovel PS (step ST34).	FIGURE DESCRIPTION
When it is determined at step ST35 that the preset operation has been completed, the controller 30 associates the detection values detected by the state detecting sensors during the execution of the preset operation with information on the preset operation, and stores the detection values associated with the preset operation in the transmission information storage 30b (step ST36).	FIGURE DESCRIPTION
In this example, the detection values detected by the state detecting sensors and stored in the temporary storage 30a during the execution of the preset operation α are associated with the preset operation α, and data indicating the detection values associated with the preset operation α is stored in the transmission information storage 30b.	EMBODIMENT
Next, the controller 30 determines whether the selected diagnosis menu item includes another preset operation (step ST37).	FIGURE DESCRIPTION
In this example, because the selected diagnosis menu item includes the preset operation β in addition to the preset operation α, the process returns to step ST32, and steps ST32 through ST36 are executed for the preset operation β.	FIGURE DESCRIPTION
When the initial position for the preset operation β is the same as the end position in the preset operation α, it is not necessary to control the operation valves 100 to adjust the attitude of the shovel PS to match the initial position (initial attitude) for the preset operation β.	EMBODIMENT
Similarly to the preset operation α, along with the execution of the preset operation (the preset operation β) at step ST32, detection values detected by the state detecting sensors during the execution of the preset operation are stored in the temporary storage 30a (step ST33).	FIGURE DESCRIPTION
Then, the controller 30 determines again whether a person exists around the shovel PS (step ST34).	FIGURE DESCRIPTION
Also, when the execution of the preset operation (preset operation β) is completed, the controller 30 determines whether the preset operation has been completed (step ST35).	FIGURE DESCRIPTION
When it is determined that the preset operation (preset operation β) has been completed, the controller 30 associates the detection values detected by the state detecting sensors during the execution of the preset operation with information on the preset operation, and stores the detection values associated with the preset operation in the transmission information storage 30b of the controller 30 (step ST36).	FIGURE DESCRIPTION
In this example, the detection values detected by the state detecting sensors and stored in the temporary storage 30a during the execution of the preset operation β are associated with the preset operation β, and data indicating the detection values associated with the preset operation β is stored in the transmission information storage 30b.	EMBODIMENT
Next, the controller 30 determines whether the selected diagnosis menu item includes another preset operation (step ST37).	FIGURE DESCRIPTION
In this example, because the selected diagnosis menu item "Hydraulic System" includes no preset operation other than the preset operations α and β, the process proceeds to step ST38.	FIGURE DESCRIPTION
At step ST38, the controller 30 displays, on the display device 40, information indicating that the measurement has been completed and measurement data is to be transmitted;	FIGURE DESCRIPTION
and then transmits, to the management apparatus 90, the data that is stored in the transmission information storage 30b and includes the detection values of the state detecting sensors associated with the information on the preset operations.	EMBODIMENT
In this example, the controller 30 transmits the detection values that are associated with the preset operation α and detected by the state detecting sensors during the execution of the preset operation α, and the detection values that are associated with the preset operation β and detected by the state detecting sensors during the execution of the preset operation β.	FIGURE DESCRIPTION
Then, the process for obtaining data used for analysis at the management apparatus 90 ends.	FIGURE DESCRIPTION
In the example of FIG. 6, in addition to the example of FIG. 4, the controller 30 stops the preset operation when, for example, a person enters the area around the shovel PS during the execution of the preset operation by the controller 30.	FIGURE DESCRIPTION
This improves safety.	INVENTION_ADVANTAGE
The example of FIG. 5 and the example of FIG. 6 may be combined.	FIGURE DESCRIPTION
Embodiments of the present invention are described above.	JURIDICAL TEMPLATE
However, the present invention is not limited to the above-described embodiments, and variations and modifications may be made without departing from the scope of the present invention.	JURIDICAL TEMPLATE
The above embodiments are described based on an example where the diagnosis menu item "Hydraulic System" including the preset operation α "arm closing operation" and the preset operation β "boom raising operation" is executed.	EMBODIMENT
However, the present invention is not limited to this example.	JURIDICAL TEMPLATE
For example, a preset operation may include an initial operation where the attitude of the shovel PS is set in an initial attitude before states of the shovel PS are detected by the state detecting sensors, a decision operation where whether the attitude of the shovel PS has been set in the initial attitude is determined, and a relief operation where the shovel PS is placed in a hydraulic relief state.	EMBODIMENT
The present international application is based on and claims the benefit of priority of Japanese Patent Application No. 2017-033877, filed on February 24, 2017, the entire contents of which are hereby incorporated herein by reference.	REFERENCE
EXPLANATION OF REFERENCE NUMERALS	SECTION TITLE
1LOWER TRAVELING BODY3UPPER ROTATING BODY4BOOM5ARM6BUCKET11xWATER TEMPERATURE SENSOR14aREGULATOR14bDISCHARGE PRESSURE SENSOR14cOIL TEMPERATURE SENSOR15aOIL PRESSURE SENSOR15bOIL PRESSURE SENSOR30CONTROLLER30aTEMPORARY STORAGE49GATE LOCK LEVER75ENGINE SPEED ADJUSTMENT DIAL80IMAGING APPARATUSS1BOOM ANGLE SENSORS2ARM ANGLE SENSORS3BUCKET ANGLE SENSORS4BODY TILT SENSORS5ROTATION ANGLE SENSORS6ATRAVELING ROTATION SENSOR (RIGHT)S6BTRAVELING ROTATION SENSOR (LEFT)	FIGURE DESCRIPTION
