VEHICLE SPEAKER DISPOSITION STRUCTURE	PATENT TITLE
In one embodiment, the hinge pillar 5 includes the hinge pillar reinforcement 56, which is coupled to the outer box part 11 and the side sill 6 (see FIGS. 2 and 4 to 7).	FIGURE DESCRIPTION
The side sill 6 is fixed to the lower part of the hinge pillar 5 and extends in the longitudinal direction of the vehicle.	FIGURE DESCRIPTION
According to this configuration, the hinge pillar reinforcement 56 is coupled to the hinge pillar inner 51 not directly but via the outer box part 11, which is the sheet metal member, to allow the outer box part 11 to function as a part of the hinge pillar reinforcement 56.	FIGURE DESCRIPTION
This configuration reduces the size (i.e. simplifies the shape) of the hinge pillar reinforcement 56 itself and reduces the weight of the hinge pillar reinforcement 56, while providing a sufficient strength at the joint between the hinge pillar 5 and the side sill 6.	INVENTION_ADVANTAGE
To be specific, if a side impact load is applied to the front door (not shown), the hinge pillar 5, which is joined to the front end of the front door via the door hinges (not shown), receives the side impact load, not to press the front door into the vehicle cabin 100.	EMBODIMENT
At this time, the hinge pillar 5 receives the side impact load, together with the side sill 6 joined to the lower part of the hinge pillar 5 not to be pressed inside the vehicle cabin 100, together with the front door.	EMBODIMENT
As in this embodiment, the hinge pillar reinforcement 56 is coupled to the side sill 6 and the outer box part 11 formed of the sheet metal member.	FIGURE DESCRIPTION
This increases the strength of the side sill 6 supporting the hinge pillar 5 at side collision.	FIGURE DESCRIPTION
In particular, the outer surface 62c of the side sill outer 62 and the outer wall 12a of the outer box part 11 are coupled together by the hinge pillar reinforcement 56.	FIGURE DESCRIPTION
This configuration allows the side sill outer 62, the outer box part 11, and the hinge pillar reinforcement 56 to enclose and define the closed cross-section 56s (see FIGS. 4 to 6).	FIGURE DESCRIPTION
This effectively increases the strength of the joint between the hinge pillar 5 and the side sill 6.	INVENTION_ADVANTAGE
That is, the hinge pillar reinforcement 56 reliably reduces deformation such as twisting of the side sill 6 at side collision.	INVENTION_ADVANTAGE
In addition, the hinge pillar reinforcement 56 is coupled to the hinge pillar inner 51 via the outer box part 11, thereby simplifying the shape of the hinge pillar reinforcement 56 itself and reducing the weight of the hinge pillar reinforcement 56, as compared to the case where the hinge pillar inner 51 is coupled to the hinge pillar inner 51 directly.	INVENTION_ADVANTAGE
The technology disclosed herein is not limited to the configurations according to the embodiments described above, and may be implemented in various embodiments.	JURIDICAL TEMPLATE
DESCRIPTION OF REFERENCE CHARACTERS	SECTION TITLE
1 Arrangement Structure of Speaker5 Hinge Pillar5s Closed Cross-Section10 Speaker Box10a Lower Rear10b Upper Rear11 Outer Box Part12a Outer Wall in Transverse Direction of Vehicle (Vehicle Outer Side Surface)12aa Lower End of Outer Wall (Lower End of Vehicle Outer Side Surface)12c Lower Wall (Lower Surface)12ca Outer End of Lower Wall in Transverse Direction of Vehicle (Outer End of Lower Surface in Transverse Direction of Vehicle)15 Inclined Corner21 Inner Box Part51 Hinge Pillar Inner52 Hinge Pillar Outer53 Opening55 Edge of Opening51 Hinge Pillar Inner51r Rear Edge56 Hinge Pillar Reinforcementα Angle between Lower Wall and Outer Wall in Transverse Direction of Vehicle (Angle between Lower Surface and Vehicle Outer Side Surface)	FIGURE DESCRIPTION
